#{"t_start": 1774922867.849378, "env_id": "BipedalWalker-v3"}
r,l,t
-107.064399,1600,1.950495
-108.814552,1600,4.497253
-124.45164,144,4.64372
-108.505862,1600,7.259275
-101.897191,79,7.339883
-114.005417,66,7.403374
-113.911398,62,7.465521
-130.538212,135,7.582923
-149.686121,498,8.002889
-111.38695,1600,10.42797
-104.906804,1600,12.539916
-104.420232,1600,14.875081
-103.974749,1600,16.170982
-101.453807,62,16.221959
-105.144648,69,17.264388
-105.24732,1600,18.709098
-107.587281,63,18.759837
-111.241667,45,18.794775
-111.579781,62,18.843064
-105.107304,1600,22.549098
-106.906914,1600,24.795488
-109.939648,1600,28.486145
-102.238251,1600,30.623409
-98.903029,1600,33.504795
-106.781918,1600,35.854241
-90.303847,1600,39.459026
-97.291077,1600,41.563206
-85.82907,1600,44.209679
-119.304539,96,44.288139
-93.788076,1600,46.538986
-76.305783,1600,50.021884
-81.091144,1600,52.090666
-76.962195,1600,55.524794
-69.178028,1600,56.772958
-51.362493,1600,60.18592
-54.374307,1600,62.271705
-50.331994,1600,65.63594
-30.051212,1600,66.837064
-24.552906,1600,70.13479
-15.967462,1600,72.254937
0.396276,1600,75.598742
-10.174474,1600,77.629639
17.53936,1600,80.085931
40.000404,1600,82.082787
48.658646,1600,85.491296
39.152022,1600,87.481756
50.021196,1600,90.668251
56.020195,1600,91.870413
-50.010971,1352,94.388262
86.740002,1600,96.468967
79.253981,1600,98.690913
-57.057992,966,99.408347
97.884817,1600,101.663218
-88.731416,233,101.832469
-89.74683,427,102.146983
1.236498,1498,104.229759
108.879691,1600,106.60274
118.344287,1600,107.768153
89.034622,1600,109.959959
-12.492368,1437,111.849909
81.592998,1600,113.975659
126.039315,1600,115.189677
117.799357,1600,117.993228
115.474265,1600,120.041258
-98.253071,85,120.103812
126.774349,1600,122.640129
-96.38885,242,122.816211
146.937725,1600,125.400979
-30.753919,913,126.079032
140.465968,1600,128.149387
142.09073,1600,130.489794
134.86065,1600,132.500821
134.939991,1600,133.923673
149.781841,1600,135.906227
156.704247,1600,138.381946
169.411237,1600,140.398823
169.857174,1600,141.887462
158.86089,1600,144.698417
183.274891,1600,147.465267
-72.804257,274,147.68132
204.387757,1600,149.971498
188.040322,1600,152.092309
178.121009,1600,153.577197
152.704045,1600,155.699475
193.044122,1600,158.200711
-63.503914,393,158.485482
194.884384,1600,160.545447
-109.775685,155,160.657455
203.851171,1600,163.05517
203.660488,1600,165.034704
149.018588,1600,166.901805
205.976607,1600,169.03378
186.390142,1600,171.809299
226.674716,1600,174.002219
85.407841,1277,175.686338
228.961742,1600,177.610418
198.052593,1600,180.361339
