#{"t_start": 1774922867.848778, "env_id": "BipedalWalker-v3"}
r,l,t
-117.935731,64,0.661587
-109.934869,1600,2.01332
-120.010308,96,2.097367
-103.309903,112,2.193412
-108.518217,50,2.23658
-116.727016,83,2.310771
-98.624528,1600,4.935558
-131.30993,1600,7.516655
-117.986778,85,7.587777
-122.246846,1600,10.042924
-103.664883,104,10.124186
-106.433966,143,10.233245
-110.329598,1600,12.34978
-112.722826,1600,14.67298
-108.260456,1600,15.971626
-111.168106,47,16.009751
-108.424889,117,16.106227
-103.927221,1600,18.532951
-107.890217,1600,20.663483
-110.383088,83,20.728006
-104.399013,1600,24.563479
-104.156434,1600,26.656526
-103.047838,1600,29.50174
-101.363439,1600,31.69794
-103.503339,1600,35.597322
-99.583169,1600,37.801593
-93.138958,1600,40.505958
-91.518221,1600,43.933202
-87.941521,1600,46.225116
-77.179592,1600,49.707067
-71.971222,1600,51.775914
-70.946523,1600,54.252053
-71.429414,1600,56.469729
-60.815922,1600,59.870385
-47.454784,1600,61.966176
-38.108609,1600,65.309188
-30.81861,1600,66.536228
-14.104432,1600,69.833851
-28.591681,1600,71.945686
-12.045529,1600,75.289687
19.672674,1600,76.498167
2.829201,1600,79.791467
6.720544,1600,81.789252
41.439088,1600,85.2014
41.948373,1600,87.182292
52.369222,1600,89.527587
60.023276,1600,91.579984
77.372215,1600,94.278761
48.224209,1600,96.360576
71.12818,1600,97.689109
-97.496942,125,98.670909
-1.278311,1358,99.67338
-103.809792,54,99.712906
-102.250655,108,99.793105
113.6594,1600,102.051008
-72.292968,484,102.403313
84.481981,1600,104.57261
103.806565,1600,106.936994
111.80597,1600,109.122117
-49.022577,1008,109.856191
117.14011,1600,111.872365
105.49945,1600,113.996873
111.459061,1600,115.210902
138.614191,1600,118.014194
-11.242937,1259,119.812495
129.770683,1600,122.336568
144.960732,1600,123.507964
127.841794,1600,126.115522
158.730629,1600,128.184151
141.542862,1600,130.525136
127.433598,1600,132.53725
168.581787,1600,133.95865
161.75844,1600,135.940065
146.746777,1600,138.418194
154.800674,1600,140.436413
156.457527,1600,141.924707
164.955205,1600,144.733583
19.316656,1198,147.201655
173.384009,1600,149.291573
205.946663,1600,150.667595
206.424496,1600,152.782085
-31.804675,632,153.581134
8.452098,997,155.268824
186.357288,1600,157.46203
11.782283,905,158.421602
211.763527,1600,160.482061
229.310543,1600,162.875525
23.435287,1063,163.653209
199.585058,1600,166.342474
208.72409,1600,168.480431
221.939277,1600,171.251964
225.677174,1600,172.486959
214.610773,1600,175.353623
244.521627,1580,177.268545
196.19952,1600,180.02589
110.804206,1475,181.090281
