#{"t_start": 1774922867.847776, "env_id": "BipedalWalker-v3"}
r,l,t
-102.298828,63,0.660209
-106.135917,52,0.700645
-102.459675,52,0.742726
-101.099512,78,0.806044
-104.733477,52,0.848091
-111.205798,58,0.894771
-110.797633,90,0.963819
-105.399784,1600,2.348774
-101.754731,62,3.462339
-119.635356,1600,5.0538
-114.71611,1600,7.603773
-113.295079,1600,10.057807
-105.750559,52,10.097838
-109.472587,1600,12.210169
-101.639357,79,12.271921
-104.893108,99,12.349159
-105.110948,75,12.408709
-115.425446,1600,14.736352
-108.216837,1600,16.034878
-105.331053,59,16.082999
-116.282308,67,16.136515
-109.124048,63,16.1864
-117.482921,77,16.249247
-114.180001,1600,18.677688
-110.93004,1600,20.800839
-108.986887,1600,24.636821
-113.635113,1600,26.736415
-111.514901,1600,29.577463
-103.903274,1600,33.322145
-92.492489,1600,35.672075
-98.354891,1600,39.290496
-128.180445,141,39.404054
-95.784913,1600,41.506532
-82.514499,1600,44.154896
-93.030397,1600,46.409688
-84.34825,1600,49.893331
-81.432023,1600,51.962609
-71.449253,1600,55.391599
-57.686184,1600,56.649919
-53.224271,1600,60.057349
-57.160311,1600,62.146558
-37.869433,1600,65.498384
-38.37095,1600,66.714275
-29.934545,1600,70.012236
-21.998139,1600,72.128846
14.235364,1600,75.477337
-0.76084,1600,77.496758
12.619829,1600,79.966208
20.401419,1600,81.963199
29.420811,1600,85.374254
41.795861,1600,87.361974
55.558162,1600,89.709444
73.278668,1600,91.751916
-77.03431,941,93.969516
74.344562,1600,95.134628
74.533753,1600,97.378162
92.773569,1600,99.454454
-5.353168,1554,101.676801
94.593063,1600,103.829701
108.52238,1600,105.251784
108.123426,1600,107.374271
-84.001653,497,107.733662
115.799009,1600,109.92356
134.701713,1600,111.942288
123.79089,1600,114.062954
-26.911956,852,114.736568
112.409909,1600,117.522397
155.885201,1600,119.581439
126.595987,1600,121.281869
150.347367,1600,123.279712
139.928024,1600,125.871008
143.929016,1600,127.953985
163.070508,1600,130.291166
149.251174,1600,131.455053
150.37931,1600,133.723809
60.723484,1573,135.695042
156.923739,1600,138.119094
-79.994407,272,138.359964
142.410357,1600,140.379216
169.073674,1600,141.86736
178.237573,1600,144.680427
199.777019,1600,147.446765
-57.018207,789,148.04395
-18.981571,585,149.37933
197.467143,1600,150.744285
214.936513,1600,152.861025
-37.055867,676,154.658528
172.878058,1600,155.807884
50.146576,1240,158.048296
91.556625,1432,159.991318
58.696377,1207,160.855951
-51.884388,409,161.154127
187.413765,1600,163.559873
189.11189,1600,166.245286
211.193168,1600,168.389495
27.182905,1139,169.200175
203.999295,1600,171.978863
211.376883,1600,174.169171
194.143528,1600,176.86531
222.28282,1600,178.015409
216.843707,1600,180.75384
-63.795404,357,181.028385
