#{"t_start": 1774922867.848447, "env_id": "BipedalWalker-v3"}
r,l,t
-110.502205,1600,1.948979
-104.031308,51,1.996964
-118.017378,79,2.069564
-113.770354,1600,4.628942
-103.73902,56,4.683474
-109.662548,1600,7.305267
-106.157581,72,7.37444
-107.593707,80,7.451614
-108.522648,122,7.561741
-103.17824,71,7.622648
-101.333775,51,7.663346
-99.235811,62,7.712306
-104.583775,57,7.761173
-108.946528,84,7.834212
-112.128843,53,7.880684
-104.164115,1600,10.313868
-112.914954,106,10.396998
-116.111463,56,10.441652
-107.420889,98,10.515468
-104.11765,1600,12.626837
-109.523162,70,12.682457
-103.672346,55,12.72495
-103.645334,1600,15.074806
-109.360844,63,15.128271
-106.113853,83,15.197146
-100.454224,75,15.259088
-100.110157,1600,17.674744
-106.238715,1600,18.971206
-111.652572,104,19.8957
-123.303354,94,19.973878
-112.319147,66,20.029583
-106.926938,54,20.077113
-110.222185,1600,22.944448
-111.97583,52,22.986802
-115.049097,72,23.044419
-106.785196,1600,25.257568
-109.907497,1600,28.960025
-113.519521,1600,31.141321
-108.61562,1600,35.036614
-96.117282,1600,36.344198
-96.783185,1600,39.948954
-95.418652,1600,42.081004
-86.748092,1600,45.669294
-85.504573,1600,46.954106
-88.855355,1600,50.417128
-79.902001,1600,52.485838
-72.907447,1600,55.936793
-72.361715,1600,58.122413
-56.456008,1600,60.579092
-42.874015,1600,62.660538
-55.926998,1600,66.016012
-25.643014,1600,68.030495
-30.378992,1600,71.41872
-8.785783,1600,72.638771
-9.873803,1600,75.979948
-2.587932,1600,78.023759
18.82986,1600,81.274046
26.392247,1600,82.469458
-117.474257,116,83.817722
39.945663,1600,85.952612
49.803035,1600,89.093919
58.249066,1600,91.150076
57.42859,1600,93.852293
81.205368,1600,95.018594
88.983459,1600,97.262005
-72.823248,565,97.676401
100.204661,1600,99.748024
95.517669,1600,102.004718
96.648921,1600,104.161551
116.300536,1600,106.531226
-18.726632,1105,107.341753
-78.847316,337,107.586779
-42.184488,1032,109.366811
108.532459,1600,111.364301
111.11172,1600,112.657398
140.658936,1600,114.717944
122.4589,1600,117.504683
118.990948,1600,119.561604
144.544422,1600,121.262224
134.343046,1600,123.26021
-86.409097,350,123.518134
133.276267,1600,126.125798
-2.582458,952,127.721742
141.805051,1600,129.078072
130.982296,1600,131.215919
145.090973,1600,133.488227
168.786348,1600,135.484204
153.468423,1600,137.895423
172.042155,1600,139.118882
164.210408,1600,141.462992
164.996988,1600,144.27347
180.636476,1600,147.03288
181.722081,1600,148.218963
203.134804,1600,150.496375
44.441084,1209,152.338879
13.059495,859,152.95616
182.050697,1600,155.417849
193.841348,1600,157.618312
190.308845,1600,159.974957
66.178732,1341,160.937776
186.768463,1600,163.341427
206.906343,1600,165.342214
187.198708,1600,168.176603
203.366056,1600,169.319992
87.075223,1458,172.000267
226.803599,1600,174.188142
216.102591,1600,176.883644
205.405552,1600,178.034886
207.557357,1600,180.772182
