#{"t_start": 1774922867.846922, "env_id": "BipedalWalker-v3"}
r,l,t
-100.956355,62,0.658838
-111.188113,1600,2.011655
-117.455689,71,2.074752
-110.355739,51,2.119054
-122.349807,137,2.235636
-107.688997,44,2.276974
-106.596675,56,2.327536
-102.539272,64,3.441828
-113.481829,57,3.494749
-98.384868,66,3.553216
-105.530222,76,3.617673
-115.59931,1600,5.249791
-110.286072,56,5.298955
-106.342452,1600,7.796484
-116.145333,59,7.847885
-116.214674,61,7.900526
-118.503943,1600,10.332833
-108.369847,67,10.384934
-106.547544,114,10.4737
-116.948603,61,10.521174
-109.426243,1600,12.632536
-105.093073,1600,14.976496
-109.472072,1600,17.253785
-113.109562,1600,18.698955
-117.769547,1600,20.821414
-109.577512,66,20.875998
-99.845143,1600,24.706861
-108.294524,1600,28.390875
-114.976866,1600,29.649441
-100.080478,1600,33.412731
-95.884431,1600,35.745203
-106.781771,90,35.816762
-98.987541,1600,39.43674
-89.965611,1600,41.541177
-89.92438,1600,44.18808
-81.237717,1600,46.442555
-74.562863,1600,49.926046
-75.577201,1600,51.995894
-71.372177,1600,55.42516
-69.251609,1600,56.681865
-51.339725,1600,60.091353
-52.793236,1600,62.178535
-29.563664,1600,65.529893
-36.205675,1600,66.745234
-25.159523,1600,70.043335
-11.869176,1600,72.160926
-115.630585,1300,75.269131
1.962999,1600,76.478948
7.696946,1600,79.773548
17.200519,1600,81.770593
44.464488,1600,85.182727
21.129076,1600,87.162646
50.405728,1600,89.508033
57.024009,1600,91.560589
60.310475,1600,94.26028
66.655588,1600,96.341526
90.207571,1600,97.669974
-73.627737,320,98.806116
72.887787,1600,99.97733
-12.752308,1371,102.069416
108.227409,1600,104.223531
98.726956,1600,106.597072
110.572241,1600,107.762887
121.454962,1600,109.954745
106.454949,1600,111.973317
133.852681,1600,114.094718
-117.179345,58,114.137396
144.564983,1600,116.190013
126.366755,1600,118.153586
110.513871,1600,120.200518
24.971758,1575,122.717971
150.582167,1600,124.827559
-1.261095,962,126.009929
110.01003,1600,128.085615
165.425413,1600,130.425612
118.110936,1600,131.592208
151.110929,1600,133.859826
180.748011,1600,135.843375
187.222549,1600,138.296599
-112.254839,135,138.417446
171.190609,1600,140.43514
178.706525,1600,141.923496
174.318848,1600,144.73269
182.176679,1600,147.501679
181.350533,1600,149.599
-83.712166,276,150.00931
212.872996,1600,152.129138
19.053438,1037,152.870383
205.884963,1600,155.333047
192.151949,1600,157.527457
216.338134,1600,159.885026
200.610574,1600,161.041906
201.505154,1600,163.44555
175.979922,1600,165.449732
180.876895,1600,168.280645
211.228431,1600,169.422732
61.569466,1402,172.085275
194.090528,1600,174.25061
206.759702,1600,176.945687
177.076873,1600,178.103254
209.540577,1600,180.852809
