#{"t_start": 1774922867.848114, "env_id": "BipedalWalker-v3"}
r,l,t
-114.945261,57,0.653148
-111.118813,66,0.709051
-101.262285,63,0.758236
-98.028167,88,0.82901
-103.114034,80,0.892227
-107.106717,91,0.964819
-103.239852,70,1.018701
-114.927179,66,1.070744
-104.987184,75,1.129957
-118.504283,64,1.181752
-116.075448,60,1.230405
-100.097878,73,1.289354
-111.054215,74,1.350502
-103.882153,1600,3.812789
-109.894187,56,3.862663
-110.458196,1600,6.525191
-104.129817,71,6.590843
-99.376687,102,6.681526
-115.528064,1600,8.149883
-108.122786,88,8.222772
-106.886386,1600,10.635137
-109.303913,68,10.691567
-104.57635,72,10.750593
-106.863938,1600,12.946561
-102.670761,66,13.002621
-104.166248,48,13.042318
-117.370958,57,13.087677
-135.136763,179,13.226158
-110.254105,1600,15.490509
-117.082088,1600,17.904737
-111.972401,1600,20.052436
-108.595446,1600,22.921499
-110.584131,63,22.972401
-117.893389,1600,25.188847
-111.93061,1600,28.888556
-110.825617,68,28.94241
-104.105009,1600,31.122724
-101.391037,1600,35.018067
-102.443498,1600,36.325259
-104.484011,1600,39.925975
-91.262614,1600,42.061956
-114.670134,57,42.111893
-85.571832,1600,45.699273
-82.212411,1600,47.98161
-74.148642,1600,50.447636
-65.659026,1600,52.515652
-69.944918,1600,55.965966
-63.73328,1600,58.152148
-60.892727,1600,60.608002
-44.032219,1600,62.692677
-47.342987,1600,66.045181
-34.385779,1600,68.058487
-20.569447,1600,71.44908
-21.84997,1600,72.666566
11.00524,1600,76.0082
-0.755062,1600,78.051465
26.083259,1600,81.301399
24.700133,1600,82.498489
36.129059,1600,85.892559
44.725111,1600,89.032582
63.747865,1600,91.087639
54.80852,1600,93.789596
75.941965,1600,94.959248
73.290613,1600,97.20232
87.808779,1600,99.280458
94.109727,1600,101.531936
-11.750805,1403,102.558144
-97.494988,182,102.693454
89.08066,1600,105.101355
76.847328,1600,107.223253
109.411861,1600,109.415947
2.466046,1441,111.291729
136.390756,1600,112.5885
111.709639,1600,114.648924
115.240671,1600,117.436201
133.090306,1600,119.489938
-104.673865,105,119.572223
132.530594,1600,121.272852
140.972445,1600,123.271124
36.311965,1397,125.713445
-40.522272,853,126.356411
-27.020776,664,127.740465
148.111063,1600,129.097203
123.926844,1600,131.23469
127.824623,1600,133.506707
153.037696,1600,135.502649
-2.569514,925,136.165248
-83.473361,158,136.714859
153.406906,1600,138.76621
164.865261,1600,141.112418
170.320203,1600,143.922248
-39.492569,517,144.292565
182.210623,1600,147.052162
192.115177,1600,148.237929
189.236523,1600,150.515625
-83.47662,178,150.642594
185.65593,1600,152.757908
174.585461,1600,155.223093
2.883271,951,155.907056
178.072779,1600,158.409857
193.440688,1600,160.469616
215.766434,1600,162.862272
164.90278,1600,164.835832
223.220529,1600,166.715109
200.335125,1600,168.850474
210.724526,1600,171.620534
234.563912,1600,173.816688
34.346541,956,175.263287
-50.238451,369,175.537506
213.316732,1600,177.461215
227.282222,1600,180.212907
