#{"t_start": 1774922867.849084, "env_id": "BipedalWalker-v3"}
r,l,t
-111.81263,56,0.650413
-103.832336,1600,2.003091
-100.543914,1600,4.555004
-113.948836,56,4.608483
-115.413483,1600,7.205776
-111.821606,1600,9.749119
-104.070283,56,9.792054
-103.695177,67,9.84523
-113.163349,1600,11.941435
-113.155767,66,11.996411
-103.565692,44,12.035272
-116.042439,71,12.095341
-112.38965,1600,13.445147
-102.556495,95,13.522739
-104.707098,118,13.622208
-102.216525,63,14.634212
-107.189143,165,14.771513
-106.218923,1600,16.069702
-113.106362,1600,18.494955
-110.32916,1600,20.62898
-117.222693,70,20.68419
-107.715825,1600,24.518709
-111.79593,1600,26.608209
-101.578124,1600,29.454362
-103.782703,1600,31.651778
-114.569139,1600,35.550333
-98.875027,1600,37.754453
-93.107233,1600,40.457899
-83.676069,1600,43.882289
-84.211153,1600,46.178834
-77.90822,1600,49.660886
-72.40086,1600,51.728532
-65.973516,1600,54.207098
-65.319549,1600,56.424824
-59.919407,1600,59.822875
-43.898774,1600,61.920751
-53.425363,1600,64.445776
-40.188325,1600,66.492406
-39.761498,1600,69.789226
-28.483085,1600,71.90124
-22.253062,1600,75.225523
10.924838,1600,76.453071
-4.071687,1600,79.748133
23.017282,1600,81.744819
43.612085,1600,85.157194
43.436469,1600,87.135418
51.618309,1600,89.481628
50.317066,1600,91.534479
68.070953,1600,94.235261
73.776307,1600,96.315857
88.333776,1600,97.644328
-109.891641,102,97.721687
86.37225,1600,99.794141
89.501624,1600,102.052128
100.122254,1600,104.206766
-60.156334,649,104.928994
119.607567,1600,107.056751
125.864509,1600,109.244271
84.409851,1600,110.428282
120.301447,1600,112.535594
135.004369,1600,114.595314
112.569964,1600,117.383017
148.081854,1600,119.433325
136.833002,1600,121.142296
173.01993,1600,123.141012
145.926156,1600,125.733771
-55.571769,561,126.162465
149.775997,1600,128.226798
147.231122,1600,130.568298
138.755406,1600,132.582044
159.162705,1600,134.00238
169.158203,1600,135.983861
165.541591,1600,138.462076
167.912441,1600,140.482531
170.843519,1600,141.969215
155.871878,1600,144.778151
33.968339,1149,147.209827
210.925562,1600,149.30195
192.583183,1600,150.675797
187.264804,1600,152.790748
188.105904,1600,155.253789
201.703496,1600,157.445311
188.924664,1600,158.918226
201.048356,1600,160.96392
203.276617,1600,163.368651
182.575924,1600,165.369985
216.133607,1600,168.204772
185.208458,1600,169.34613
44.504621,1173,171.81495
203.085105,1600,174.007772
90.90288,1352,175.742934
-100.484639,90,175.809125
202.270333,1600,177.733219
210.078209,1600,180.48282
