#{"t_start": 1773360960.342477, "env_id": "BipedalWalker-v3"}
r,l,t
268.263052,1068,788.73831
269.97402,1042,790.797549
267.92906,1076,792.895408
268.33308,1087,794.977827
264.099896,1109,797.649433
271.124376,1045,798.984492
271.875018,1031,802.881618
271.594275,1028,804.034079
272.08169,1028,806.235105
165.737883,946,807.789496
275.440574,982,809.759878
271.517449,1045,810.832859
273.692108,993,813.858094
271.260777,1029,814.915167
269.678165,1041,816.951819
270.738579,1020,818.878798
273.713769,1002,820.873392
274.461712,1010,821.899404
268.712276,1044,825.017808
17.981896,493,825.565897
273.432746,1011,826.628277
272.17619,1015,828.662757
271.483964,1017,830.674366
274.5284,1004,832.669179
274.764039,994,833.698529
266.46729,1068,836.761676
269.112343,1055,837.833071
272.453889,1014,839.859487
273.086574,1001,841.849526
276.59576,984,844.29409
273.206544,1004,845.464194
271.810515,1025,849.337958
269.434271,1061,850.609537
270.779342,1038,853.215031
269.374905,1047,855.346228
270.637286,1036,857.406766
272.082337,1018,858.448602
273.318163,1017,861.491602
267.833517,1069,862.6088
270.777359,1030,864.71808
274.04278,985,866.811902
272.785463,1027,868.876047
268.748207,1043,869.951913
272.511727,1030,873.120691
267.947312,1061,874.250315
271.561973,1017,876.308369
271.079023,1013,878.402088
272.61319,983,880.413389
273.668326,1004,881.452657
272.852434,994,883.593759
273.700428,983,885.625267
272.760065,977,887.884799
271.869857,995,888.919523
269.921979,1017,891.844293
273.813049,985,892.85007
270.728951,1013,894.852883
32.006996,485,896.354261
273.603194,970,897.37811
270.115526,1042,899.42302
267.498106,1043,901.521175
268.912456,1012,903.601611
270.695633,996,904.628855
272.490263,990,907.668493
272.258695,990,908.70221
275.110483,957,911.006402
269.56611,1010,912.070764
274.679349,964,915.160849
-117.502708,87,915.256049
274.711462,971,916.259829
269.030555,1013,918.319877
80.707786,744,920.077008
272.812432,1001,922.099351
273.331751,982,923.131974
276.945184,946,926.107064
275.014351,960,927.091459
272.091757,994,929.132949
-27.197621,315,929.485615
128.848233,849,931.341147
274.148516,959,933.32122
276.506043,945,934.341555
268.303099,1025,937.528424
271.689635,988,938.564212
273.553184,964,940.589808
272.597971,988,941.604781
272.660703,978,943.637964
267.539084,1038,945.765616
271.565709,1006,946.798382
275.672578,953,949.775803
272.773358,989,950.835912
269.718186,1009,952.955834
271.183521,1009,955.001616
269.11705,1021,957.171448
275.634002,960,958.188933
268.646246,1017,961.342647
269.202891,1014,962.410685
273.064296,974,964.455697
273.589352,970,966.754606
271.684807,996,969.227094
271.229508,991,970.244524
273.049078,971,973.265896
268.10164,992,974.288764
273.39583,959,976.409466
271.73388,969,977.409171
274.560672,951,980.37398
273.802353,950,981.354794
273.427709,981,983.356328
275.675444,945,985.340648
274.190542,960,987.287424
273.106788,963,988.302288
275.623289,950,990.287741
272.533474,988,992.300921
269.282824,1006,993.356796
275.478078,965,996.344034
272.096958,983,997.37975
271.343873,992,999.358642
276.103296,926,1001.313325
272.090956,963,1003.296226
270.062177,1012,1004.328404
271.850549,988,1006.310858
273.236718,959,1008.297784
271.914013,977,1010.291756
274.419663,948,1011.257882
272.117085,976,1014.209635
271.903702,983,1015.215172
-30.039495,436,1015.655062
273.319159,975,1017.65017
275.560946,945,1019.585804
272.540586,959,1021.557591
276.141091,937,1022.510736
273.573932,961,1025.415764
274.90876,952,1026.517086
277.941304,922,1028.425567
278.804353,901,1030.317685
275.507714,939,1031.312043
-24.89998,306,1032.58991
275.813635,925,1033.537655
271.848059,972,1036.519925
130.01815,830,1037.366157
276.248081,940,1038.32284
273.527143,960,1040.303534
274.001841,960,1042.267489
275.345707,945,1044.231392
279.996956,893,1045.151236
274.771217,945,1048.272191
275.194005,940,1049.265439
274.840543,950,1051.213221
