#{"t_start": 1772501947.135645, "env_id": "BipedalWalker-v3"}
r,l,t
-100.108187,124,0.211232
-117.40086,74,0.307956
-106.372021,104,0.432509
-110.660041,107,0.562964
-120.511543,1600,2.777811
-101.822082,67,6.175153
-109.084869,38,6.218651
-118.662886,61,6.292345
-114.399441,1600,8.224702
-102.54835,1600,13.939656
-120.112093,75,14.030422
-103.968134,54,14.097544
-102.524747,114,14.242503
-107.54541,1600,19.712574
-115.621958,1600,25.339101
-117.766295,1600,30.664726
-101.206005,63,30.73737
-105.797261,1600,32.672753
-110.462259,1600,37.894128
-93.13981,1600,43.159834
-119.930839,98,43.280132
-107.482622,134,43.441793
-98.572825,1600,48.779554
-87.578531,1600,54.034988
-85.44549,1600,57.677337
-88.652645,1600,62.787211
-115.549652,83,62.885957
-89.141224,1600,68.067254
-70.169471,1600,72.943722
-113.444488,80,73.03462
-117.095443,78,73.124317
-117.060189,77,73.210288
-79.73644,1600,78.06797
-121.983127,95,78.176448
-119.10449,250,78.46236
-67.400789,1600,83.33162
-107.216053,50,83.392023
-76.738258,1600,85.327282
-81.087109,1600,90.188376
-113.458948,139,90.354381
-104.388876,77,90.453353
-65.907815,1600,95.343647
-67.781297,1600,100.194505
-77.201857,1600,105.288643
-62.264391,1600,107.13553
-63.235644,1600,112.49368
-110.515741,45,112.547146
-58.36411,1600,117.512177
-51.859327,1600,122.348358
-115.641747,70,122.432335
-105.837587,67,122.509884
-39.523965,1600,127.32947
-51.422516,1600,129.297783
-116.012852,87,132.500274
-34.568597,1600,134.332875
-36.998679,1600,141.290451
-37.825327,1600,146.177915
-20.343048,1600,151.095675
-108.656499,64,151.168513
-19.638575,1600,152.939349
-121.945015,141,156.354158
-0.598859,1600,158.1412
3.468307,1600,162.935376
16.870266,1600,169.434944
15.148489,1600,174.335544
39.387034,1600,176.146301
46.004056,1600,180.968749
51.496617,1600,185.888939
27.930541,1600,190.746337
59.999754,1600,195.882014
59.798599,1600,199.443633
72.936201,1600,205.058962
91.042528,1600,210.156049
87.928475,1600,215.505337
56.004676,1600,217.277347
76.279862,1600,222.022215
87.62565,1600,227.906674
124.128447,1600,232.825347
110.334629,1600,237.57369
126.178657,1600,239.377537
-8.79296,1157,243.855927
115.282886,1600,248.697161
-70.684964,344,249.067327
150.534113,1600,255.580104
128.891395,1600,257.339351
137.502724,1600,262.286539
160.439599,1600,267.048941
-40.934595,606,267.703697
168.160356,1600,272.424229
167.908594,1600,277.127775
156.928184,1600,283.637497
2.641373,982,284.744056
178.571145,1600,289.577821
-95.777791,171,289.76196
160.451474,1600,294.535175
172.205674,1600,299.249889
151.810428,1600,300.964393
174.05558,1600,305.673284
77.819962,1591,312.068825
180.300954,1600,316.937398
162.414458,1600,318.657328
210.314558,1600,323.454496
179.58058,1600,328.166034
192.22961,1600,332.872927
191.645125,1600,338.08312
100.979093,1438,339.63579
72.867921,1221,344.029148
211.000129,1600,348.744675
215.56227,1600,350.461647
195.909549,1600,355.225298
223.026418,1600,361.286385
226.793304,1600,366.020179
-0.470478,695,366.790252
239.105382,1592,371.508858
203.877146,1600,376.35216
-34.494639,613,377.00722
226.92484,1600,381.710174
241.831897,1560,386.410101
18.064954,783,387.357941
233.841689,1600,392.200507
247.055134,1504,393.82069
239.928809,1550,398.487255
211.022003,1600,403.244062
238.521525,1590,407.963802
-124.177224,165,408.137708
240.803438,1538,412.772788
242.265726,1576,414.596854
247.212649,1497,419.334158
251.332392,1443,423.974533
251.591826,1429,425.508602
246.876745,1469,430.133639
-11.909444,495,430.671051
10.013817,638,434.367954
24.898919,644,435.054173
-61.715086,298,435.371256
257.656142,1356,440.313741
81.512445,1035,441.440786
0.206468,572,445.12431
-8.634752,506,445.6906
254.476817,1385,450.170148
254.63384,1397,451.665808
-60.643869,341,452.030845
252.544351,1404,456.558771
247.540133,1467,461.156165
246.074064,1499,467.180728
258.974641,1331,468.624975
259.141787,1339,473.252457
78.819519,995,474.364047
258.603818,1308,478.827963
258.76622,1304,483.384713
253.845513,1369,484.886723
258.781383,1344,489.396365
132.175392,1073,491.242671
260.045774,1317,495.81249
-122.275102,87,495.911331
257.777221,1310,500.356083
-39.508208,390,500.783033
-126.256588,192,500.987296
267.956695,1212,505.326501
263.913431,1247,506.937997
261.166261,1263,511.330338
267.392957,1210,512.655354
267.988914,1206,516.956256
266.58612,1210,522.090493
264.00119,1232,523.472994
267.302653,1210,527.78523
273.716867,1118,529.007482
268.344891,1186,533.332446
272.322918,1140,537.581659
267.484155,1194,538.89072
266.467534,1216,543.222445
269.60166,1153,544.655491
275.21214,1119,548.884318
273.293602,1116,550.161066
273.414431,1120,554.486069
276.030351,1092,555.693208
270.471774,1120,560.004271
-35.10187,276,560.319697
269.802795,1174,564.61507
271.687533,1135,565.878629
12.180869,518,566.518737
269.482637,1188,572.306484
269.48955,1139,576.568493
264.994712,1216,577.965173
266.483805,1161,582.245054
268.878917,1163,583.546555
272.268698,1134,587.833124
275.346259,1084,589.028677
266.318563,1188,593.340106
-107.966734,32,593.378842
273.049081,1110,597.707529
275.610905,1069,599.951302
276.929387,1061,604.17261
278.563531,1050,605.376097
-36.671122,337,605.751807
273.14643,1122,609.989369
271.837691,1100,611.208049
51.252157,616,614.942455
274.314128,1075,616.125948
276.056033,1059,620.283844
275.896426,1073,621.468019
275.796973,1062,625.635453
276.820667,1061,627.845305
274.331539,1067,632.167757
274.097433,1075,633.366134
270.47807,1117,637.650161
141.043605,928,638.66706
116.618982,885,642.639343
278.28928,1058,643.802635
277.629174,1021,648.057521
271.196435,1099,649.270974
273.772307,1079,654.614441
270.882915,1115,655.841338
279.609472,1025,660.191282
273.241825,1100,661.3991
277.528645,1032,665.52091
146.980024,968,666.59153
273.7869,1085,670.825348
273.228872,1083,672.010804
274.123272,1066,676.199491
278.283185,1043,677.335473
275.714948,1055,682.486244
-18.135323,358,682.886983
