#{"t_start": 1772501947.14096, "env_id": "BipedalWalker-v3"}
r,l,t
-112.522223,83,0.151738
-121.786383,1600,2.364457
-102.231478,48,2.425359
-104.154072,66,2.509229
-99.606826,88,2.620525
-116.871884,61,2.692988
-115.963549,68,2.781583
-102.979572,52,6.157094
-112.130936,64,6.234073
-111.815207,60,6.306768
-105.867163,65,6.382944
-103.763516,1600,8.31467
-107.973971,80,8.409975
-102.816907,1600,14.13344
-112.837653,48,14.192659
-108.513561,49,14.258056
-106.739175,72,14.341295
-98.026246,92,14.451866
-105.241594,1600,19.925643
-108.438391,74,20.017675
-120.688704,119,20.155679
-106.322274,131,20.315198
-121.007105,93,20.424199
-106.986496,116,20.561497
-105.453596,1600,26.205529
-86.003718,1600,31.505104
-108.757565,1600,36.725835
-114.534697,66,36.806224
-96.261287,1600,42.068279
-103.716343,53,42.135042
-104.71145,59,42.213059
-94.353187,1600,44.170062
-92.029544,1600,49.514526
-85.206716,1600,54.748903
-86.423897,1600,61.550659
-84.304205,1600,63.54217
-112.19278,60,66.846117
-102.193306,91,66.952148
-76.793842,1600,68.849694
-115.286304,148,69.024308
-78.644872,1600,73.858282
-94.043071,1600,78.722341
-105.496723,50,78.781774
-101.157094,65,78.856845
-71.441068,1600,83.720464
-111.490306,93,83.828523
-80.99599,1600,88.782461
-76.053636,1600,90.658008
-105.112699,137,90.82839
-118.807997,90,93.955582
-64.849678,1600,95.794366
-74.034333,1600,100.656734
-74.606333,1600,105.746144
-110.51409,45,105.803866
-59.850133,1600,110.695022
-122.238059,115,110.835063
-58.270411,1600,116.255059
-46.436579,1600,118.105748
-64.162835,1600,122.943268
-110.731726,90,123.047652
-46.963014,1600,127.850586
-38.79984,1600,132.918424
-112.238976,107,133.037383
-38.166505,1600,138.132444
-30.954153,1600,141.836861
-26.260436,1600,146.727041
-2.209547,1600,151.627791
-115.157559,66,151.702547
-125.082955,129,151.844141
-11.002592,1600,156.882785
-4.134519,1600,161.690775
20.110514,1600,163.457198
-113.212808,100,163.571131
23.501043,1600,170.069187
-0.071347,1600,174.980171
-120.820372,67,175.060836
39.320414,1600,179.892724
26.089412,1600,184.84238
40.031094,1600,186.596837
60.289179,1600,191.637577
59.628501,1600,198.378912
79.231502,1600,203.698101
50.73224,1600,205.869474
-114.599643,61,205.941891
73.67912,1600,210.966354
94.628585,1600,216.292068
83.59047,1600,221.043311
95.328236,1600,226.919004
107.350691,1600,228.680778
118.029062,1600,233.597275
123.323688,1600,238.396039
119.296541,1600,243.362457
139.121736,1600,245.106556
149.732209,1600,249.937411
-5.666315,1126,255.93051
143.007813,1600,260.903729
135.498962,1600,262.645971
131.314222,1600,267.404051
158.665073,1600,272.119829
149.974401,1600,276.824804
20.258707,1217,278.129244
174.125348,1600,284.691766
-115.499627,141,284.847394
157.339184,1600,289.680863
-44.018459,760,290.498845
-97.125488,144,290.652852
178.016347,1600,295.422687
-14.733115,742,299.217086
176.38136,1600,300.929368
161.685206,1600,305.63823
181.020557,1600,312.042942
176.453319,1600,316.913286
15.25021,1015,318.009981
198.480676,1600,322.811747
183.174053,1600,327.523766
186.868088,1600,329.238266
-45.360901,566,332.828933
214.135055,1600,338.039177
206.372805,1600,339.776986
212.80609,1600,344.564387
214.276386,1600,349.284196
-56.39518,364,349.671886
216.84519,1600,354.432024
217.070247,1600,359.138543
76.891281,1347,361.935609
222.749583,1600,366.697535
230.176415,1600,371.426211
242.74544,1521,376.181765
-48.862381,307,376.515432
233.970509,1600,381.218838
241.470996,1560,382.876516
121.564066,1546,387.687135
246.301658,1503,392.42602
3.752253,773,393.260333
236.717938,1600,397.973461
225.224315,1600,402.737351
97.772519,1273,404.096777
237.85689,1595,408.818344
247.895041,1449,413.500064
212.696615,1600,418.295142
-112.200416,57,418.358906
244.646686,1517,420.032534
253.160061,1429,424.664868
9.312822,747,425.458486
11.607635,564,429.090344
255.409388,1388,430.609678
257.502729,1354,435.073761
117.306663,1204,439.841076
252.037109,1421,441.385815
254.756941,1387,445.964767
251.010489,1403,450.470266
18.228053,645,451.160309
255.122709,1383,455.668227
144.82201,1406,457.173365
-20.060448,496,460.727434
255.318524,1378,462.215894
256.424707,1357,468.087286
252.203023,1418,472.798529
251.912166,1416,474.370182
256.501955,1350,478.878898
258.475207,1336,483.475113
258.802049,1320,484.919139
261.501736,1290,489.365967
266.834194,1214,494.451017
262.991652,1269,495.887572
259.121771,1288,500.306794
260.99547,1286,501.705434
266.871282,1208,506.280719
119.245036,1027,507.421278
264.417562,1257,511.801929
270.534359,1149,516.047057
265.956846,1229,517.382538
267.876757,1199,522.53472
271.339807,1174,523.823768
266.664606,1226,528.157345
269.917312,1180,532.469166
269.146613,1190,533.775905
271.591728,1157,538.040773
271.883882,1137,539.289498
268.427984,1181,543.581576
271.409223,1157,545.023815
271.288207,1128,549.271941
270.449958,1133,553.651553
270.974094,1150,554.915317
94.698115,824,555.830809
272.379194,1133,560.164401
273.299353,1118,564.39985
267.39286,1166,565.6984
269.536656,1143,570.396222
265.567179,1188,572.818699
273.255156,1110,577.06027
269.70711,1145,578.370214
274.357225,1073,582.551137
269.624613,1147,583.835881
271.691606,1141,588.12572
269.229631,1162,592.41107
271.642008,1134,593.659012
271.772922,1110,597.990847
272.006808,1105,600.272858
275.850578,1068,604.521032
22.472377,509,605.102637
272.771398,1099,609.32741
273.373642,1087,610.527889
273.506588,1100,614.794892
107.606448,885,615.771185
273.031881,1095,619.97487
-12.613543,370,620.38036
275.1581,1077,621.570209
274.665749,1053,626.754054
123.600826,884,627.736572
272.872691,1083,632.073565
-102.540497,76,632.166336
273.018067,1092,633.381645
275.704813,1084,637.625747
278.811275,1035,638.763902
23.095311,560,642.375139
273.853098,1097,643.584503
272.851076,1094,647.920173
272.827586,1093,649.125285
274.267476,1079,654.468345
273.985355,1065,655.642732
275.177791,1045,660.009467
278.503204,1024,661.138852
276.860344,1047,665.277998
273.393146,1081,666.463638
276.263312,1044,670.662256
272.553236,1079,671.838299
274.486557,1065,676.023628
275.084038,1063,677.184946
277.434206,1027,682.302356
276.277314,1032,683.443569
