#{"t_start": 1772501947.140396, "env_id": "BipedalWalker-v3"}
r,l,t
-103.4218,87,0.160838
-116.733681,124,0.321543
-124.520556,1600,2.528452
-100.650805,66,2.609993
-106.749583,1600,7.852977
-125.322099,90,7.963065
-113.228594,1600,13.683305
-107.873074,1600,19.142929
-103.613741,75,19.23318
-128.840083,146,19.414825
-117.930335,121,19.566523
-101.097221,94,19.685702
-102.091953,73,19.778163
-98.412205,63,19.855909
-103.428067,124,20.007304
-108.754166,86,20.108972
-120.405853,1600,25.736208
-117.029117,1600,31.053472
-118.227308,1600,36.235373
-105.14898,1600,38.215838
-97.135357,1600,43.481653
-105.969889,50,43.549194
-109.263218,1600,48.886585
-96.013726,1600,54.137332
-76.898122,1600,57.77713
-80.472892,1600,62.887885
-77.613105,1600,68.069016
-77.951116,1600,72.945266
-76.352255,1600,77.796729
-70.91122,1600,79.683636
-76.895552,1600,84.487219
-69.984031,1600,89.458495
-104.824275,54,89.52191
-113.800343,65,89.598291
-75.342963,1600,94.505924
-108.051785,86,94.608804
-77.884052,1600,99.464463
-67.358028,1600,101.316906
-120.150234,91,101.424953
-120.339385,71,101.507017
-105.757092,83,101.601654
-67.616551,1600,106.676366
-107.085531,123,106.819394
-108.67832,94,106.927787
-58.796031,1600,112.282631
-106.896423,84,112.380195
-69.285574,1600,117.347378
-50.975708,1600,122.185935
-41.521797,1600,127.013851
-51.955884,1600,128.821194
-38.932469,1600,133.916615
-28.736043,1600,139.047236
-23.878893,1600,145.740317
-21.830986,1600,147.57541
-18.825331,1600,152.465326
-6.924999,1600,157.508002
-134.74554,150,157.676573
9.373624,1600,162.470135
4.659389,1600,167.239604
23.783167,1600,170.745621
-123.461549,121,170.883733
27.292213,1600,175.80159
46.92713,1600,180.635873
54.305014,1600,185.561958
34.269803,1600,190.402559
48.901825,1600,192.368385
81.293068,1600,199.110698
78.478666,1600,204.454599
75.713495,1600,209.832844
79.098926,1600,215.177623
91.493092,1600,216.951399
95.335189,1600,221.696585
102.155146,1600,227.578263
99.204952,1600,232.497452
-130.871348,113,232.621406
115.45719,1600,234.378083
135.911337,1600,239.172474
134.648496,1600,244.13828
111.2652,1600,248.973333
149.243255,1600,255.484764
153.49523,1600,257.236057
145.791815,1600,262.187038
160.739026,1600,266.953094
-85.838089,265,267.241678
156.32331,1600,271.956059
-118.879584,88,272.053692
161.680319,1600,276.757787
-9.857832,891,277.716292
174.757714,1600,284.262439
141.997136,1600,289.112938
170.049733,1600,290.838935
156.087495,1600,295.60778
21.028659,1140,299.825972
163.976622,1600,304.527646
181.171142,1600,307.90471
191.781011,1600,312.679838
189.089641,1600,317.523699
180.268009,1600,322.326773
187.414885,1600,324.04187
202.832205,1600,328.75314
195.973779,1600,333.458375
188.309134,1600,338.670671
210.118084,1600,343.479579
215.925046,1600,345.189713
219.850579,1600,349.909046
225.080632,1600,354.668224
222.824006,1600,359.37229
-46.703782,475,359.884406
231.928688,1600,365.976835
-124.440904,110,366.101134
220.072788,1600,370.850763
-27.459094,475,371.355396
184.755181,1600,376.199631
51.933699,1002,377.272429
-23.116465,518,377.812581
240.106383,1586,382.504835
232.03508,1600,387.371476
-6.625528,770,388.193262
89.534667,1374,392.800472
236.220854,1595,397.512585
239.543883,1551,399.20389
233.113366,1600,403.931826
245.129113,1524,408.579097
243.064361,1532,413.346332
-116.14654,69,413.422147
245.906836,1511,418.123208
251.187261,1429,419.709249
246.607002,1481,424.390135
250.904515,1455,428.972756
250.899549,1445,430.551224
254.751601,1392,435.057515
259.12741,1343,439.976182
-29.121076,503,440.52465
250.95863,1450,445.171587
248.89226,1457,446.743249
122.165918,1253,451.081437
251.075463,1396,455.607965
252.319178,1403,457.110447
257.473264,1330,461.562848
252.802402,1412,467.492919
253.586737,1396,469.005264
260.982998,1312,473.615715
254.354286,1376,478.17352
262.976994,1299,479.59114
-69.059408,204,479.814541
267.260809,1215,484.279221
105.597333,1040,488.455624
260.554667,1291,489.871116
262.000555,1253,494.990026
269.300908,1203,496.363701
130.318168,1061,500.528617
269.902617,1191,501.826523
265.441341,1239,506.435948
265.009528,1260,510.833128
269.611193,1193,512.141424
266.038317,1220,516.462418
267.311248,1201,518.486945
81.631978,782,522.45429
261.413731,1249,523.835201
263.783855,1251,528.195158
266.127723,1213,532.54319
264.829213,1229,533.895103
271.844769,1156,538.157862
-44.695558,278,538.464477
268.441039,1186,542.76098
262.061004,1260,544.153879
-30.335114,298,544.639725
271.762493,1177,548.936446
-63.802816,204,549.16237
94.481385,883,550.181736
276.753513,1093,554.472783
273.312845,1120,555.714593
273.147117,1123,560.033886
81.547533,832,560.961711
270.326062,1143,565.219985
273.373791,1118,569.895078
265.990924,1251,572.393388
267.223085,1185,576.703781
271.102417,1120,577.994445
268.992998,1168,582.281686
268.872443,1156,583.577047
272.513384,1126,587.853257
272.161736,1122,589.089139
270.370606,1133,593.341461
278.367247,1078,597.634578
270.915221,1123,599.936732
274.226316,1123,604.23316
274.905347,1081,605.47252
277.51229,1055,609.635393
272.762615,1119,610.87583
274.419108,1076,615.118481
168.685765,1052,616.28009
276.384329,1068,620.445591
277.314144,1048,621.602995
271.603019,1113,626.85516
105.923103,775,627.711026
274.128149,1075,632.037585
275.971016,1043,633.204921
274.641581,1072,637.442385
275.420985,1060,638.606563
274.662997,1073,642.785436
277.405489,1034,643.928986
270.044896,1119,648.287263
277.620203,1046,649.440523
275.530838,1067,654.771461
268.033012,1152,656.039322
275.759664,1066,660.434184
274.101802,1078,664.614858
274.607275,1053,665.763227
273.951843,1076,670.00499
92.62687,833,670.910641
277.02065,1013,672.019472
275.425015,1043,676.17873
273.76807,1071,677.349457
275.978899,1030,682.468862
279.786747,998,683.575188
