#{"t_start": 1772501947.139801, "env_id": "BipedalWalker-v3"}
r,l,t
-125.0864,74,0.140911
-111.245685,52,0.212653
-115.410054,84,0.318869
-109.382957,57,0.385397
-102.128601,95,0.50024
-104.493816,1600,2.714244
-101.703908,90,6.14007
-107.731811,1600,8.067271
-105.892346,1600,13.785249
-110.080528,69,13.866138
-104.835333,74,13.961392
-98.06886,79,14.057651
-101.134875,60,14.130615
-99.160619,76,14.22675
-110.211241,1600,19.696563
-122.587707,90,19.808953
-105.100668,54,19.8756
-109.085826,1600,25.501321
-115.776647,86,25.606514
-125.01662,110,25.743093
-102.984192,86,25.846296
-105.895524,1600,31.157542
-108.761327,1600,36.343821
-102.893578,1600,38.321368
-109.457955,1600,43.595776
-114.17167,63,43.673597
-107.401762,1600,49.012763
-86.981218,1600,54.25839
-102.066998,64,54.335738
-104.906523,59,54.407701
-82.764059,1600,61.199331
-88.957065,1600,63.16416
-86.264637,1600,68.33364
-117.461196,78,68.429763
-110.598912,234,68.704813
-76.958633,1600,73.550323
-77.737241,1600,78.408082
-112.349123,59,78.480267
-69.162272,1600,83.348937
-125.379074,630,84.062443
-118.943084,63,84.133482
-76.761843,1600,89.101571
-106.374199,67,89.177251
-68.574318,1600,94.085557
-84.107616,1600,95.923824
-108.463668,64,95.996541
-117.317535,74,96.081952
-69.757117,1600,100.947811
-114.027934,64,101.022957
-150.7747,1255,105.707998
-103.061841,68,105.79378
-77.045249,1600,110.68412
-67.000109,1600,112.995446
-52.625065,1600,117.964567
-43.905179,1600,122.804071
-120.110911,365,123.221058
-40.783342,1600,128.024292
-49.671102,1600,133.092061
-44.078934,1600,138.195292
-57.197051,1600,141.890818
-36.578475,1600,146.781017
-17.941515,1600,151.679057
-11.475035,1600,156.715198
-3.297234,1600,158.50771
-100.935152,155,161.699908
-110.474023,44,161.751978
13.191429,1600,163.516346
17.294703,1600,170.012059
31.315435,1600,174.921628
48.779268,1600,179.760979
37.921779,1600,181.66033
67.49781,1600,186.46225
35.883301,1600,191.503234
61.436437,1600,198.246212
70.53198,1600,203.55718
71.246699,1600,205.732606
-117.498293,70,205.81528
47.008999,1600,210.839938
82.950626,1600,216.170067
83.362163,1600,220.919241
85.213169,1600,225.696797
-13.024781,1426,228.369268
117.927499,1600,233.285653
-117.881482,62,233.353041
-114.748243,68,233.431685
101.212192,1600,238.225792
126.954069,1600,243.195446
129.754446,1600,244.937846
14.900403,1394,249.541731
-84.386391,198,249.759788
-10.037715,1137,255.770554
128.92935,1600,260.740652
138.02602,1600,262.480717
120.824495,1600,267.237535
152.48531,1600,271.951765
162.239183,1600,276.656201
156.749213,1600,280.123812
6.18966,1020,284.310406
177.452111,1600,289.158137
-5.956072,828,290.049016
164.624604,1600,294.820642
19.490694,1094,295.994823
181.048279,1600,300.701523
186.23402,1600,305.410226
175.21283,1600,311.815524
168.047119,1600,316.688852
-35.372954,620,317.353835
-74.925088,264,317.637465
179.584566,1600,322.440113
179.347004,1600,327.151272
175.015902,1600,328.868456
207.799444,1600,334.024639
242.215076,1584,338.770206
211.828052,1600,343.576514
20.476556,921,344.558323
225.107219,1600,349.278297
204.179128,1600,354.040245
193.13906,1600,355.75641
228.778437,1600,361.812837
241.633023,1581,366.544611
205.047694,1600,371.278998
226.877822,1600,376.121974
200.400833,1600,377.826851
83.383972,1363,382.279187
-127.162491,158,382.444619
226.544806,1600,387.311503
-62.954879,253,387.586771
0.844923,671,388.302017
5.726196,710,392.1885
231.750392,1600,393.91992
78.113327,1216,398.221661
242.431873,1569,402.950369
237.009979,1597,407.671938
244.377763,1521,409.296473
241.986625,1556,414.090152
243.54683,1490,418.791552
249.490736,1469,423.492932
-90.991676,124,423.623625
256.630183,1388,425.111137
-112.499211,54,425.170822
44.965064,804,429.055697
-43.163619,387,429.473208
92.954541,995,430.568621
29.798399,778,434.420046
251.792334,1422,435.932047
142.261437,1378,440.906593
252.974072,1411,445.521342
-41.650382,341,445.88583
256.378537,1385,450.371357
250.770174,1428,451.898836
259.189026,1346,456.365772
27.035935,814,457.243988
-113.659523,77,457.330552
260.467343,1311,461.762183
52.375459,872,465.876879
253.613053,1412,468.635743
91.351898,1024,472.919193
250.655397,1441,474.518655
260.247163,1308,478.981605
264.899869,1247,483.482648
262.900159,1253,484.847004
262.412913,1273,489.276663
99.912478,978,490.348082
260.670503,1295,495.557482
-130.765039,182,495.766429
260.527467,1293,500.193378
-89.212562,109,500.315593
258.162223,1340,501.773027
98.603389,983,506.043452
270.402543,1165,507.390503
265.258689,1236,511.747859
268.025835,1207,516.05992
4.298392,602,516.713755
269.607445,1183,521.810267
267.587766,1211,523.178777
264.865482,1223,527.504267
51.737964,785,528.361588
267.674846,1173,532.6663
273.004055,1133,533.916596
266.400999,1211,538.237255
267.875812,1179,539.52959
-103.312798,62,539.602035
270.084103,1189,543.899011
272.181819,1151,548.333957
270.331364,1138,549.601227
267.678373,1197,554.041139
276.249433,1072,555.221228
273.808168,1102,559.515577
266.453163,1210,560.869798
272.762526,1147,565.131967
275.04745,1106,566.427615
270.354898,1142,571.060173
266.374681,1195,576.489951
275.223654,1091,577.741553
267.790954,1153,582.019549
259.951605,1292,583.460534
272.08354,1112,587.725155
276.45485,1074,588.912332
274.154393,1093,593.118736
273.362996,1112,594.385729
278.074075,1053,599.671134
273.281102,1101,603.942031
272.699312,1095,605.195391
274.68649,1101,609.417286
277.167209,1051,610.579423
273.326297,1092,614.83818
276.828802,1056,615.999401
273.474053,1091,620.196871
275.131939,1070,621.377103
274.6364,1072,625.553368
74.330338,671,627.331116
269.161351,1134,631.710882
271.738313,1100,632.947805
277.710993,1034,637.149957
275.31011,1063,638.320032
280.241152,1019,642.437037
272.763573,1085,643.632108
30.735793,570,644.26373
275.702305,1049,648.546091
273.550941,1100,652.91301
269.507928,1106,655.131833
276.948768,1043,659.496003
277.235415,1027,660.629073
276.130849,1043,664.772337
275.413103,1039,665.906415
