#{"t_start": 1772501947.141742, "env_id": "BipedalWalker-v3"}
r,l,t
-104.973104,86,0.156606
-117.357338,54,0.232348
-101.575233,55,0.296892
-105.315826,80,0.395194
-121.063198,1600,2.604092
-122.826979,111,2.742826
-102.011893,1600,7.987161
-101.783142,85,8.090981
-119.640165,83,8.19224
-110.072258,1600,13.90732
-126.811587,115,14.048087
-101.552799,76,14.14719
-102.830557,84,14.251494
-121.821778,136,14.412628
-99.513766,71,14.499373
-103.031314,1600,19.97284
-110.645808,1600,25.597946
-103.592305,82,25.696203
-102.410597,79,25.797684
-101.391941,78,25.891084
-120.572899,130,26.049063
-99.159679,70,26.138915
-111.678936,85,26.243813
-109.113546,45,26.298243
-114.489676,56,26.367621
-112.993971,1600,31.665911
-109.919007,54,31.732344
-109.473098,1600,36.95486
-108.25349,1600,42.224577
-102.110732,77,42.316607
-110.645781,74,42.409182
-100.075094,1600,44.362401
-92.864897,1600,49.708761
-102.701316,84,49.814564
-96.91818,1600,55.041963
-91.157122,1600,61.857129
-92.444134,1600,67.060472
-71.490496,1600,68.956527
-76.346477,1600,73.793204
-83.383078,1600,78.657087
-112.010302,64,78.734145
-72.652708,1600,83.597509
-71.49224,1600,88.552273
-78.634574,1600,90.41168
-67.857864,1600,95.304294
-109.858597,52,95.367544
-109.775786,71,95.448243
-74.663621,1600,100.299984
-73.091433,1600,105.394385
-61.058119,1600,110.28841
-70.036768,1600,112.601562
-71.443042,1600,117.566023
-60.650586,1600,122.401587
-65.103526,1600,127.22337
-43.271815,1600,129.05627
-46.933606,1600,134.126349
-33.828693,1600,141.088574
-30.40502,1600,145.965749
-22.914058,1600,150.895076
-106.694839,61,150.964368
-23.736611,1600,152.738674
-12.732393,1600,157.7845
-7.18751,1600,162.579637
29.31457,1600,167.347559
18.898241,1600,170.854777
35.928197,1600,175.772057
61.287964,1600,180.606495
-74.508835,1471,185.392848
76.55196,1600,190.211579
50.046235,1600,192.198181
68.525153,1600,198.939119
77.650204,1600,204.265218
69.178278,1600,209.66453
82.929474,1600,211.495334
