#{"t_start": 1772501947.144277, "env_id": "BipedalWalker-v3"}
r,l,t
-115.54339,1600,2.251045
-106.029746,61,2.333557
-116.104054,1600,7.581108
-100.743441,81,7.680155
-105.344979,90,7.792315
-123.639351,1600,13.514375
-131.20848,247,13.814353
-102.264453,57,13.882009
-122.090001,96,14.000483
-104.183098,1600,19.465399
-113.670952,1600,25.099885
-118.104107,1600,27.207418
-114.415887,1600,32.361777
-99.162658,1600,37.588
-93.712116,1600,42.85011
-98.679897,1600,48.134978
-96.242693,1600,50.158365
-74.433456,1600,55.378493
-108.803318,47,55.435768
-90.230322,1600,62.248081
-111.330279,59,62.319513
-113.70287,63,62.398538
-74.114236,1600,67.596906
-82.583775,1600,72.48598
-74.058288,1600,74.301618
-108.11908,71,74.38255
-105.233322,320,77.782696
-65.417161,1600,79.669838
-104.250768,92,79.777341
-73.423522,1600,84.702251
-59.716194,1600,89.555336
-108.818522,86,89.654215
-69.063154,1600,94.564574
-120.103311,63,94.640052
-75.234647,1600,99.495217
-71.135033,1600,101.349671
-69.509359,1600,106.424793
-66.678735,1600,111.335828
-120.533022,130,111.481893
-61.012669,1600,116.901938
-106.405589,66,116.978325
-61.435862,1600,121.819565
-51.161375,1600,123.659511
-54.910997,1600,128.45498
-109.22405,158,128.632001
-35.015531,1600,133.727139
-30.259135,1600,138.813823
-47.771724,1600,145.547975
-30.715245,1600,147.3856
-107.274411,69,147.465041
-113.624687,85,147.559285
-10.559207,1600,152.44915
-112.132495,68,152.528958
-21.697827,1600,157.571909
10.583298,1600,162.364195
14.670653,1600,167.135489
17.257698,1600,170.640113
21.62564,1600,175.556588
55.06339,1600,180.390004
25.187631,1600,185.322124
54.257825,1600,190.131139
61.351978,1600,192.125296
-111.381188,59,192.192422
73.324793,1600,198.933124
80.975285,1600,204.259113
-37.598376,1362,209.397423
92.38804,1600,211.198179
72.115856,1600,216.518098
-78.545485,687,217.273094
98.426636,1600,222.018002
82.524524,1600,227.902545
-75.254307,497,228.451371
124.697944,1600,233.366952
124.298162,1600,238.158268
124.941954,1600,243.130506
-96.615728,117,243.25991
118.944687,1600,245.003736
140.02399,1600,249.834687
132.434309,1600,256.345627
155.610619,1600,261.318029
156.423098,1600,266.084697
162.072404,1600,267.815259
-44.034559,679,271.530603
-96.869687,131,271.673185
154.966258,1600,276.376998
-78.570005,252,276.645516
171.647003,1600,280.112259
35.767788,1305,284.610528
-50.27339,660,285.336361
3.105391,1005,289.521922
