#{"t_start": 1772501947.1426501, "env_id": "BipedalWalker-v3"}
r,l,t
-113.67025,58,0.118403
-104.286813,1600,2.329157
-106.020881,92,2.450379
-119.311654,135,2.621267
-126.509104,1600,7.862639
-103.921838,1600,13.583088
-108.477243,113,13.719374
-105.843422,1600,19.18011
-108.190118,1600,24.798051
-112.843742,63,24.880519
-99.416512,74,24.979407
-109.715841,47,25.040436
-118.228998,80,25.138148
-102.956102,67,25.219324
-102.926522,53,25.284762
-111.0019,1600,30.614556
-115.717812,101,30.735745
-102.483288,89,30.839696
-107.767724,52,30.902147
-106.546283,86,31.004055
-110.552651,1600,36.186421
-90.190836,1600,38.165791
-117.103122,71,38.252959
-99.652372,1600,43.523416
-111.218997,71,43.615505
-114.884476,67,43.696151
-104.641913,1600,49.038233
-111.16271,48,49.094863
-102.526807,1600,54.340685
-78.595758,1600,61.127841
-113.104817,66,61.212536
-89.951473,1600,63.177316
-110.247479,74,63.290173
-111.602707,57,63.365738
-77.992524,1600,68.502144
-113.255242,66,68.579799
-88.14975,1600,73.427576
-72.009166,1600,78.287954
-81.172079,1600,83.155441
-101.84194,65,83.230078
-71.979489,1600,85.171685
-65.455072,1600,90.032297
-72.422763,1600,94.940766
-64.971894,1600,99.794077
-138.487565,591,100.472949
-126.409671,107,100.597914
-116.156673,62,100.673976
-66.467368,1600,105.763372
-70.280253,1600,110.652743
-60.383993,1600,112.964399
-53.466758,1600,117.933436
-52.382297,1600,122.772912
-39.721661,1600,127.584438
-52.535036,1600,132.654554
-30.07716,1600,134.503285
-105.912553,58,134.574712
-112.382595,49,134.636
-107.135367,49,134.698461
-35.045593,1600,141.626367
-35.71487,1600,146.516891
-22.895629,1600,151.419561
-19.547999,1600,156.453323
5.079897,1600,158.24081
-4.365146,1600,163.037491
9.204291,1600,169.536747
24.743362,1600,174.440593
36.048478,1600,176.254568
45.421385,1600,181.151514
30.862094,1600,185.986398
52.912734,1600,190.873501
63.961724,1600,195.981377
67.025189,1600,199.545223
87.451385,1600,205.182679
-119.179241,60,205.275313
85.601806,1600,210.348805
87.384331,1600,215.670293
94.677421,1600,220.43816
94.178806,1600,222.189157
102.102462,1600,228.074609
129.279343,1600,232.990316
128.612958,1600,237.736262
109.47299,1600,239.542013
-115.566314,88,239.641417
-97.370736,121,242.983165
136.794101,1600,244.733867
126.715474,1600,249.562311
-101.025074,97,249.667246
145.720392,1600,256.178419
159.875007,1600,261.153662
-36.687006,933,262.156799
144.967506,1600,266.921372
165.429754,1600,271.640213
156.413748,1600,276.343127
160.299493,1600,278.068518
156.292267,1600,284.628885
-67.262858,368,285.031873
177.933342,1600,289.866242
157.703634,1600,294.638759
168.195585,1600,299.353897
181.423864,1600,301.067014
183.274091,1600,305.777253
170.994882,1600,312.185597
-40.988901,574,312.832633
5.911091,941,316.960658
185.293496,1600,318.682341
182.796539,1600,323.478974
184.934865,1600,328.189951
-113.360242,59,328.253733
199.587076,1600,332.960395
223.889269,1600,338.168498
-123.160055,112,338.288682
-80.144919,228,338.532933
-41.438935,539,339.117986
200.602006,1600,343.921684
223.844324,1600,348.635185
206.601292,1600,350.35332
202.744054,1600,355.115429
211.840956,1600,359.815099
200.921277,1600,365.906283
232.081345,1600,370.6665
219.034408,1600,372.376748
236.759235,1600,377.216002
8.096671,700,377.957825
239.6254,1565,382.624093
133.547249,1512,387.39925
245.155317,1516,392.13893
241.751296,1578,393.847086
240.535946,1578,398.544652
240.062481,1571,403.270958
241.719737,1551,407.943574
240.55817,1544,409.591171
237.177581,1598,414.429046
241.871487,1543,419.216919
252.773718,1426,423.840661
247.256139,1482,425.429212
253.109265,1435,430.016921
-15.704697,423,430.475503
-72.615398,200,430.696308
-80.569872,158,433.884354
-19.350927,471,434.384121
246.455124,1492,435.973969
116.441817,1358,440.928021
-42.67274,399,441.360893
44.89959,752,445.258895
255.027914,1383,446.744946
-87.930863,151,446.910352
253.611055,1396,451.400413
262.358847,1284,455.806763
258.429396,1315,457.212756
254.681859,1366,461.704834
259.084777,1357,467.576854
262.887527,1290,468.968741
256.307437,1337,473.606052
260.158493,1314,478.096695
263.884494,1266,479.474465
-5.57819,508,483.153805
262.759376,1265,484.556853
261.154249,1304,489.013669
259.338256,1301,491.113867
265.939124,1212,495.561944
263.616986,1226,499.923694
264.717274,1240,501.277341
267.585117,1207,505.612862
-10.862668,610,506.518964
266.697907,1205,510.856547
266.4527,1210,512.183025
125.170623,1011,516.270207
273.487116,1133,518.218498
267.054795,1197,522.660799
271.260987,1152,523.919953
270.451132,1175,528.198718
-23.340901,408,528.644755
268.228835,1189,532.968103
268.935886,1157,534.240943
272.87724,1139,538.486023
269.150207,1180,542.777009
270.767821,1151,544.047257
270.686821,1158,548.481694
269.199892,1172,549.798616
271.792181,1137,554.15996
271.524589,1137,555.413525
272.389285,1126,559.730966
273.571732,1114,560.983213
266.346969,1206,565.310167
272.58998,1115,569.983189
272.21252,1116,572.32744
273.327674,1114,576.556834
266.362048,1209,577.945098
143.437428,1065,582.120096
274.06746,1095,583.339928
272.12693,1125,587.620512
270.596712,1148,588.889101
272.325255,1138,593.149215
273.589139,1100,594.40311
270.42633,1143,599.788863
274.041831,1108,604.067401
268.542246,1159,605.392771
273.971782,1087,609.593832
276.026366,1074,610.781712
275.865427,1092,615.043274
272.66051,1083,616.240087
274.077376,1090,620.430034
-71.935747,218,620.671026
273.906441,1095,621.882087
273.091837,1076,627.092819
276.030553,1040,628.247785
271.104112,1088,632.594962
276.886791,1039,636.807575
275.913001,1058,637.970526
-121.420608,93,638.073152
278.542372,1016,642.182563
271.667801,1107,643.401404
277.331086,1041,647.67945
276.799308,1049,648.8375
274.250004,1071,653.16723
271.963761,1108,655.394923
275.396911,1082,659.799546
279.00967,1014,660.917398
276.244445,1045,665.059043
273.567913,1056,666.213249
275.755414,1048,670.418158
279.946137,998,671.506396
278.385249,1040,675.661599
273.457586,1087,676.852036
274.865126,1047,681.993971
277.366655,1024,683.125187
